ID,Year_Birth,Education,Marital_Status, Income ,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
1994,1983,Graduation,Married," ₹ 51,381.50 ",1.00,0.00,15-11-2013,11.00,5.00,5.00,6.00,0.00,2.00,1.00,1.00,1.00,0.00,2.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
387,1976,Basic,Married," ₹ 7,500.00 ",0.00,0.00,13-11-2012,59.00,6.00,16.00,11.00,11.00,1.00,16.00,1.00,2.00,0.00,3.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
2125,1959,Graduation,Divorced," ₹ 63,033.00 ",0.00,0.00,15-11-2013,82.00,194.00,61.00,480.00,225.00,112.00,30.00,1.00,3.00,4.00,8.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
8180,1952,Master,Divorced," ₹ 59,354.00 ",1.00,1.00,15-11-2013,53.00,233.00,2.00,53.00,3.00,5.00,14.00,3.00,6.00,1.00,5.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
2569,1987,Graduation,Married," ₹ 17,323.00 ",0.00,0.00,10-10-2012,38.00,3.00,14.00,17.00,6.00,1.00,5.00,1.00,1.00,0.00,3.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
2114,1946,PhD,Single," ₹ 82,800.00 ",0.00,0.00,24-11-2012,23.00,1006.00,22.00,115.00,59.00,68.00,45.00,1.00,7.00,6.00,12.00,3.00,0.00,0.00,1.00,1.00,0.00,0.00,3.00,11.00,1.00
9736,1980,Graduation,Married," ₹ 41,850.00 ",1.00,1.00,24-12-2012,51.00,53.00,5.00,19.00,2.00,13.00,4.00,3.00,3.00,0.00,3.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4939,1946,Graduation,Married," ₹ 37,760.00 ",0.00,0.00,31-08-2012,20.00,84.00,5.00,38.00,150.00,12.00,28.00,2.00,4.00,1.00,6.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
6565,1949,Master,Married," ₹ 76,995.00 ",0.00,1.00,28-03-2013,91.00,1012.00,80.00,498.00,0.00,16.00,176.00,2.00,11.00,4.00,9.00,5.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,11.00,0.00
2278,1985,2n Cycle,Single," ₹ 33,812.00 ",1.00,0.00,03-11-2012,86.00,4.00,17.00,19.00,30.00,24.00,39.00,2.00,2.00,1.00,3.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
9360,1982,Graduation,Married," ₹ 37,040.00 ",0.00,0.00,08-08-2012,41.00,86.00,2.00,73.00,69.00,38.00,48.00,1.00,4.00,2.00,5.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
5376,1979,Graduation,Married," ₹ 2,447.00 ",1.00,0.00,06-01-2013,42.00,1.00,1.00,1725.00,1.00,1.00,1.00,15.00,0.00,28.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1993,1949,PhD,Married," ₹ 58,607.00 ",0.00,1.00,23-12-2012,63.00,867.00,0.00,86.00,0.00,0.00,19.00,3.00,2.00,3.00,9.00,8.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4047,1954,PhD,Married," ₹ 65,324.00 ",0.00,1.00,11-01-2014,0.00,384.00,0.00,102.00,21.00,32.00,5.00,3.00,6.00,2.00,9.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1409,1951,Graduation,Married," ₹ 40,689.00 ",0.00,1.00,18-03-2013,69.00,270.00,3.00,27.00,39.00,6.00,99.00,7.00,7.00,1.00,5.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
7892,1969,Graduation,Single," ₹ 18,589.00 ",0.00,0.00,02-01-2013,89.00,6.00,4.00,25.00,15.00,12.00,13.00,2.00,2.00,1.00,3.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
2404,1976,Graduation,Married," ₹ 53,359.00 ",1.00,1.00,27-05-2013,4.00,173.00,4.00,30.00,3.00,6.00,41.00,4.00,5.00,1.00,4.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
5255,1986,Graduation,Single," ₹ 51,381.50 ",1.00,0.00,20-02-2013,19.00,5.00,1.00,3.00,3.00,263.00,362.00,0.00,27.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
9422,1989,Graduation,Married," ₹ 38,360.00 ",1.00,0.00,31-05-2013,26.00,36.00,2.00,42.00,20.00,21.00,10.00,2.00,2.00,1.00,4.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1966,1965,PhD,Married," ₹ 84,618.00 ",0.00,0.00,22-11-2013,96.00,684.00,100.00,801.00,21.00,66.00,0.00,1.00,6.00,9.00,10.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,11.00,0.00
6864,1989,Master,Divorced," ₹ 10,979.00 ",0.00,0.00,22-05-2014,34.00,8.00,4.00,10.00,2.00,2.00,4.00,2.00,3.00,0.00,3.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
3033,1963,Master,Married," ₹ 38,620.00 ",0.00,0.00,11-05-2013,56.00,112.00,17.00,44.00,34.00,22.00,89.00,1.00,2.00,5.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
5710,1970,Graduation,Married," ₹ 40,548.00 ",0.00,1.00,10-10-2012,31.00,110.00,0.00,5.00,2.00,0.00,3.00,2.00,2.00,1.00,4.00,5.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
7373,1952,PhD,Divorced," ₹ 46,610.00 ",0.00,2.00,29-10-2012,8.00,96.00,12.00,96.00,33.00,22.00,43.00,6.00,4.00,1.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
8755,1946,Master,Married," ₹ 68,657.00 ",0.00,0.00,20-02-2013,4.00,482.00,34.00,471.00,119.00,68.00,22.00,1.00,3.00,5.00,9.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
10738,1951,Master,Single," ₹ 49,389.00 ",1.00,1.00,29-08-2013,55.00,40.00,0.00,19.00,2.00,1.00,3.00,1.00,2.00,0.00,3.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4339,1970,PhD,Married," ₹ 67,353.00 ",0.00,1.00,31-12-2013,37.00,702.00,17.00,151.00,0.00,8.00,35.00,5.00,5.00,6.00,12.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
10755,1976,2n Cycle,Married," ₹ 23,718.00 ",1.00,0.00,02-09-2013,76.00,6.00,3.00,14.00,15.00,7.00,36.00,3.00,3.00,1.00,2.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
8595,1973,Graduation,Widow," ₹ 42,429.00 ",0.00,1.00,11-02-2014,99.00,55.00,0.00,6.00,2.00,0.00,4.00,2.00,1.00,1.00,3.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
2968,1943,PhD,Divorced," ₹ 48,948.00 ",0.00,0.00,01-02-2013,53.00,437.00,8.00,206.00,160.00,49.00,42.00,2.00,7.00,10.00,5.00,6.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
8601,1980,Graduation,Married," ₹ 80,011.00 ",0.00,1.00,29-04-2013,3.00,421.00,76.00,536.00,82.00,178.00,102.00,2.00,8.00,6.00,5.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
503,1985,Master,Married," ₹ 20,559.00 ",1.00,0.00,12-03-2013,88.00,13.00,1.00,29.00,3.00,0.00,7.00,2.00,2.00,0.00,3.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
8430,1957,Graduation,Married," ₹ 21,994.00 ",0.00,1.00,24-12-2012,4.00,9.00,0.00,6.00,3.00,1.00,3.00,1.00,0.00,0.00,3.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
7281,1959,PhD,Single," ₹ 51,381.50 ",0.00,0.00,05-11-2013,80.00,81.00,11.00,50.00,3.00,2.00,39.00,1.00,1.00,3.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
2139,1975,Master,Married," ₹ 7,500.00 ",1.00,0.00,02-10-2013,19.00,3.00,1.00,10.00,3.00,2.00,12.00,3.00,2.00,0.00,3.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1371,1976,Graduation,Single," ₹ 79,941.00 ",0.00,0.00,28-06-2014,72.00,123.00,164.00,266.00,227.00,30.00,174.00,1.00,2.00,4.00,9.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
9909,1996,2n Cycle,Married," ₹ 7,500.00 ",0.00,0.00,09-11-2012,24.00,3.00,18.00,14.00,15.00,22.00,50.00,3.00,3.00,1.00,3.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
7286,1968,Graduation,Married," ₹ 41,728.00 ",1.00,0.00,24-05-2013,92.00,13.00,6.00,15.00,3.00,5.00,13.00,1.00,2.00,0.00,2.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
7244,1951,Graduation,Single," ₹ 51,381.50 ",2.00,1.00,01-01-2014,96.00,48.00,5.00,48.00,6.00,10.00,7.00,3.00,2.00,1.00,4.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
6566,1954,PhD,Married," ₹ 72,550.00 ",1.00,1.00,08-11-2012,39.00,826.00,50.00,317.00,50.00,38.00,38.00,9.00,5.00,2.00,12.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
8614,1957,Graduation,Widow," ₹ 65,486.00 ",0.00,1.00,12-05-2014,29.00,245.00,19.00,125.00,37.00,67.00,14.00,1.00,4.00,2.00,10.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4114,1964,Master,Married," ₹ 79,143.00 ",0.00,0.00,11-08-2012,2.00,650.00,37.00,780.00,27.00,167.00,32.00,1.00,6.00,9.00,13.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1331,1977,Graduation,Single," ₹ 35,790.00 ",1.00,0.00,02-01-2013,54.00,12.00,6.00,20.00,30.00,1.00,3.00,2.00,2.00,0.00,3.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
2225,1977,Graduation,Divorced," ₹ 82,582.00 ",0.00,0.00,07-06-2014,54.00,510.00,120.00,550.00,156.00,40.00,241.00,1.00,4.00,9.00,7.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,3.00,11.00,1.00
9381,1978,Graduation,Married," ₹ 66,373.00 ",1.00,1.00,12-06-2013,57.00,328.00,9.00,124.00,12.00,24.00,109.00,7.00,4.00,2.00,10.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
6260,1955,Master,Married," ₹ 82,384.00 ",0.00,0.00,19-11-2012,55.00,984.00,51.00,432.00,180.00,120.00,190.00,1.00,3.00,10.00,13.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,11.00,1.00
10383,1966,Graduation,Divorced," ₹ 70,287.00 ",0.00,0.00,02-04-2013,30.00,295.00,35.00,482.00,121.00,120.00,40.00,1.00,5.00,5.00,10.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
7437,1988,Graduation,Single," ₹ 27,938.00 ",1.00,0.00,28-04-2014,31.00,13.00,0.00,8.00,2.00,1.00,5.00,1.00,1.00,0.00,4.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
8557,1982,Graduation,Single," ₹ 51,381.50 ",1.00,0.00,17-06-2013,57.00,11.00,3.00,22.00,2.00,2.00,6.00,2.00,2.00,0.00,3.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
8375,1968,PhD,Married," ₹ 55,954.00 ",0.00,1.00,03-03-2014,63.00,447.00,0.00,28.00,0.00,0.00,43.00,3.00,8.00,2.00,6.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
6853,1982,Master,Single," ₹ 75,777.00 ",0.00,0.00,04-07-2013,12.00,712.00,26.00,538.00,69.00,13.00,80.00,1.00,3.00,6.00,11.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,3.00,11.00,1.00
3076,1975,Graduation,Married," ₹ 66,653.00 ",1.00,1.00,07-09-2012,18.00,452.00,18.00,102.00,16.00,18.00,6.00,4.00,4.00,2.00,12.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1012,1952,Graduation,Single," ₹ 61,823.00 ",0.00,1.00,18-02-2013,26.00,523.00,7.00,134.00,37.00,14.00,169.00,4.00,8.00,2.00,10.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
6518,1951,PhD,Widow," ₹ 67,680.00 ",0.00,1.00,11-06-2013,8.00,546.00,0.00,48.00,0.00,6.00,6.00,1.00,7.00,3.00,8.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4137,1948,Graduation,Married," ₹ 70,666.00 ",0.00,0.00,06-12-2013,29.00,398.00,40.00,367.00,119.00,122.00,30.00,1.00,7.00,4.00,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
8082,1971,Graduation,Married," ₹ 25,721.00 ",1.00,0.00,21-05-2013,75.00,1.00,3.00,6.00,3.00,6.00,15.00,1.00,1.00,1.00,2.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
1386,1967,Graduation,Married," ₹ 32,474.00 ",1.00,1.00,11-05-2014,0.00,10.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
9369,1979,2n Cycle,Single," ₹ 88,194.00 ",0.00,1.00,19-03-2014,19.00,688.00,14.00,309.00,201.00,24.00,38.00,1.00,11.00,10.00,10.00,5.00,1.00,0.00,0.00,1.00,0.00,0.00,3.00,11.00,1.00
4477,1958,Graduation,Married," ₹ 69,096.00 ",0.00,1.00,27-09-2013,4.00,247.00,49.00,159.00,7.00,82.00,109.00,1.00,5.00,2.00,10.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1357,1970,Graduation,Married," ₹ 74,854.00 ",1.00,2.00,08-04-2013,90.00,856.00,59.00,487.00,58.00,29.00,73.00,7.00,2.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1402,1954,Master,Married," ₹ 66,991.00 ",0.00,0.00,11-09-2012,1.00,496.00,36.00,460.00,189.00,60.00,12.00,3.00,4.00,8.00,6.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
10629,1973,2n Cycle,Married," ₹ 51,381.50 ",1.00,0.00,14-09-2012,25.00,25.00,3.00,43.00,17.00,4.00,17.00,3.00,3.00,0.00,3.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
6312,1959,Graduation,Married," ₹ 65,031.00 ",0.00,1.00,17-03-2013,29.00,258.00,107.00,291.00,84.00,37.00,86.00,4.00,10.00,3.00,13.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
8132,1975,PhD,Married," ₹ 60,631.00 ",1.00,1.00,05-04-2013,88.00,565.00,6.00,65.00,0.00,6.00,19.00,5.00,9.00,2.00,8.00,7.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1050,1952,Graduation,Married," ₹ 28,332.00 ",0.00,0.00,30-04-2014,58.00,14.00,10.00,13.00,4.00,15.00,9.00,1.00,2.00,1.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
5846,1977,Graduation,Divorced," ₹ 40,246.00 ",1.00,0.00,19-12-2012,68.00,2.00,1.00,6.00,2.00,1.00,1.00,1.00,1.00,0.00,2.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1859,1972,Master,Married," ₹ 75,251.00 ",0.00,0.00,27-08-2012,34.00,721.00,111.00,925.00,97.00,18.00,18.00,1.00,7.00,6.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
7503,1976,Graduation,Single," ₹ 75,825.00 ",0.00,0.00,12-10-2012,40.00,1032.00,105.00,779.00,137.00,105.00,51.00,0.00,5.00,8.00,9.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
10401,1976,2n Cycle,Married," ₹ 26,326.00 ",0.00,0.00,04-09-2013,12.00,1.00,0.00,5.00,0.00,3.00,9.00,1.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,11.00,0.00
1618,1965,Graduation,Married," ₹ 56,046.00 ",0.00,0.00,02-01-2013,9.00,577.00,0.00,64.00,0.00,0.00,51.00,2.00,10.00,1.00,8.00,8.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
3332,1985,Graduation,Single," ₹ 29,760.00 ",1.00,0.00,29-08-2012,87.00,64.00,4.00,68.00,7.00,5.00,17.00,4.00,3.00,1.00,4.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
2261,1969,Graduation,Married," ₹ 26,304.00 ",1.00,0.00,23-06-2013,5.00,4.00,1.00,5.00,2.00,0.00,4.00,1.00,1.00,0.00,2.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
5346,1973,2n Cycle,Married," ₹ 23,559.00 ",1.00,0.00,03-07-2013,87.00,25.00,5.00,19.00,7.00,0.00,23.00,3.00,3.00,0.00,3.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4119,1963,Master,Married," ₹ 38,620.00 ",0.00,0.00,11-05-2013,56.00,112.00,17.00,44.00,34.00,22.00,89.00,1.00,2.00,5.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
535,1987,Graduation,Divorced," ₹ 81,361.00 ",0.00,0.00,25-02-2014,18.00,163.00,23.00,424.00,27.00,65.00,76.00,1.00,3.00,10.00,13.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
5268,1960,Graduation,Married," ₹ 29,440.00 ",1.00,1.00,11-08-2013,95.00,17.00,8.00,14.00,10.00,4.00,3.00,2.00,1.00,0.00,4.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
273,1970,Master,Married," ₹ 36,138.00 ",1.00,1.00,16-07-2013,48.00,130.00,0.00,16.00,0.00,0.00,5.00,5.00,3.00,1.00,4.00,7.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4452,1957,Graduation,Single," ₹ 50,388.00 ",0.00,1.00,28-05-2014,3.00,292.00,6.00,37.00,0.00,3.00,34.00,4.00,6.00,1.00,6.00,7.00,0.00,1.00,0.00,1.00,0.00,0.00,3.00,11.00,1.00
8504,1973,Graduation,Married," ₹ 79,593.00 ",0.00,0.00,12-05-2014,70.00,350.00,60.00,568.00,110.00,133.00,145.00,1.00,5.00,6.00,7.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,11.00,0.00
771,1967,Graduation,Married," ₹ 54,178.00 ",0.00,1.00,21-01-2014,79.00,135.00,9.00,39.00,4.00,0.00,7.00,1.00,2.00,2.00,5.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
8996,1957,PhD,Married," ₹ 51,381.50 ",2.00,1.00,19-11-2012,4.00,230.00,42.00,192.00,49.00,37.00,53.00,12.00,7.00,2.00,8.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
9235,1957,Graduation,Single," ₹ 51,381.50 ",1.00,1.00,27-05-2014,45.00,7.00,0.00,8.00,2.00,0.00,1.00,1.00,1.00,0.00,2.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
5798,1973,Master,Married," ₹ 51,381.50 ",0.00,0.00,23-11-2013,87.00,445.00,37.00,359.00,98.00,28.00,18.00,1.00,2.00,4.00,8.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
11178,1972,Master,Single," ₹ 42,394.00 ",1.00,0.00,23-03-2014,69.00,15.00,2.00,10.00,0.00,1.00,4.00,1.00,1.00,0.00,3.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
2230,1970,PhD,Married," ₹ 23,626.00 ",1.00,0.00,24-05-2014,84.00,27.00,2.00,14.00,0.00,0.00,0.00,3.00,3.00,1.00,3.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
7516,1983,Graduation,Married," ₹ 30,096.00 ",1.00,0.00,22-05-2014,30.00,5.00,3.00,11.00,12.00,5.00,9.00,1.00,2.00,0.00,3.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
7247,1960,Graduation,Widow," ₹ 47,916.00 ",0.00,1.00,22-11-2012,72.00,505.00,0.00,26.00,0.00,0.00,75.00,5.00,7.00,4.00,6.00,6.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
11100,1972,Graduation,Divorced," ₹ 51,813.00 ",1.00,1.00,11-04-2013,37.00,51.00,2.00,7.00,0.00,1.00,2.00,2.00,2.00,0.00,3.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4646,1951,2n Cycle,Married," ₹ 78,497.00 ",0.00,0.00,01-12-2013,44.00,207.00,26.00,447.00,75.00,0.00,223.00,1.00,5.00,7.00,12.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,11.00,0.00
3037,1983,PhD,Married," ₹ 50,150.00 ",0.00,0.00,20-06-2013,32.00,135.00,46.00,92.00,65.00,61.00,11.00,2.00,5.00,2.00,7.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1473,1960,2n Cycle,Single," ₹ 47,823.00 ",0.00,1.00,23-07-2013,0.00,53.00,1.00,5.00,2.00,1.00,10.00,2.00,2.00,0.00,3.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1016,1959,PhD,Single," ₹ 34,554.00 ",0.00,1.00,30-03-2014,43.00,41.00,1.00,6.00,2.00,0.00,5.00,2.00,2.00,0.00,3.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4518,1979,Graduation,Married," ₹ 85,693.00 ",0.00,1.00,20-04-2013,59.00,386.00,172.00,183.00,185.00,132.00,111.00,2.00,9.00,5.00,11.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
9370,1945,PhD,Married," ₹ 65,846.00 ",0.00,0.00,17-05-2013,68.00,562.00,81.00,276.00,80.00,40.00,81.00,1.00,6.00,3.00,6.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
8908,1959,Graduation,Married," ₹ 87,195.00 ",0.00,0.00,08-05-2014,35.00,217.00,76.00,690.00,50.00,26.00,38.00,1.00,3.00,11.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
8373,1979,Basic,Married," ₹ 24,594.00 ",1.00,0.00,10-12-2013,94.00,1.00,3.00,6.00,10.00,0.00,9.00,1.00,1.00,0.00,3.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
7533,1964,Graduation,Married," ₹ 49,096.00 ",1.00,1.00,24-09-2013,15.00,144.00,1.00,32.00,2.00,1.00,7.00,4.00,4.00,1.00,4.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
